Timestamp,Electricity_kWh,Water_Litres,Outdoor_Temp_C,Humidity_Pct,Pressure_PSI,Thermal_Temp_C,Vibration_mm_s,Is_Anomaly
2026-06-01 00:00:00,2259.61,3309.9,31.1,53.6,43.78,66.87,2.33,0
2026-06-01 00:15:00,2183.41,3238.7,26.0,65.4,43.22,68.89,2.42,0
2026-06-01 00:30:00,2277.72,3108.94,30.2,76.2,45.26,69.76,2.27,0
2026-06-01 00:45:00,2382.76,3002.96,26.7,46.2,40.72,62.97,2.61,0
2026-06-01 01:00:00,2171.9,3204.73,37.1,66.1,44.01,68.38,2.84,0
2026-06-01 01:15:00,2171.9,3159.02,39.2,62.7,43.88,68.8,1.98,0
2026-06-01 01:30:00,2389.51,3234.28,26.1,46.5,41.33,67.71,2.62,0
2026-06-01 01:45:00,2292.09,3195.28,39.3,68.1,43.71,71.63,2.42,0
2026-06-01 02:00:00,2143.66,3257.43,32.8,52.3,42.9,69.45,2.53,0
2026-06-01 02:15:00,2265.11,3019.71,29.5,62.0,42.23,71.68,2.64,0
2026-06-01 02:30:00,2144.39,3297.61,26.2,43.7,41.51,67.86,2.44,0
2026-06-01 02:45:00,2144.11,3129.64,32.5,60.7,41.64,70.74,2.47,0
2026-06-01 03:00:00,2229.04,3411.29,36.9,53.8,44.96,72.49,2.44,0
2026-06-01 03:15:00,1970.41,2996.62,35.6,77.0,42.5,71.68,2.79,0
2026-06-01 03:30:00,1993.01,3360.39,25.8,42.6,43.44,65.67,2.63,0
2026-06-01 03:45:00,2132.53,3129.69,26.1,58.8,41.55,67.77,2.57,0
2026-06-01 04:00:00,2078.46,3002.29,31.0,60.6,41.56,67.54,2.12,0
2026-06-01 04:15:00,2237.71,3027.42,29.4,72.6,43.8,69.62,2.39,0
2026-06-01 04:30:00,2091.04,3051.95,28.5,65.8,40.88,70.12,2.77,0
2026-06-01 04:45:00,2030.52,3163.62,29.2,70.0,42.0,66.3,2.51,0
2026-06-01 05:00:00,2375.88,3178.43,37.1,75.0,42.54,68.57,2.7,0
2026-06-01 05:15:00,2172.91,3013.94,38.9,78.8,42.63,63.35,3.03,0
2026-06-01 05:30:00,2208.1,3096.35,31.1,54.1,42.29,72.0,2.81,0
2026-06-01 05:45:00,2029.03,3421.34,38.6,64.2,42.97,67.12,2.53,0
2026-06-01 06:00:00,2134.67,3359.13,29.8,77.8,43.33,68.54,2.35,0
2026-06-01 06:15:00,2213.31,3165.45,32.1,84.5,43.38,67.63,1.73,0
2026-06-01 06:30:00,2061.88,3105.7,28.4,80.0,41.32,71.27,2.45,0
2026-06-01 06:45:00,2245.08,3118.0,34.6,56.7,42.16,61.31,2.4,0
2026-06-01 07:00:00,2127.92,3192.03,39.7,48.8,43.93,68.36,2.62,0
2026-06-01 07:15:00,2165.0,2946.58,34.1,62.0,43.57,68.14,2.45,0
2026-06-01 07:30:00,2127.8,3061.39,30.4,73.4,40.85,67.27,2.4,0
2026-06-01 07:45:00,2422.27,2849.71,34.7,62.2,42.92,72.72,1.97,0
